decision_id,entry_ts,direction,entry_mode,entry_price,sl,tp1,tp2,atr_m30,score,score_detail,exit_ts,exit_reason,exit_price,pnl_usd,duration_min,mfe_pts,mae_pts
ab0be8aa,2026-05-05 22:03:55.382185+00:00,LONG,,4532.15,4512.15,4552.15,4582.15,14.8,1,base+1 no_iceberg_data,2026-05-05 23:02:00+00:00,TP1_THEN_TP2,4582.15,210.0,58,55.05000000000018,0.0
b585d8bd,2026-05-06 04:22:16.959391+00:00,SHORT,,4625.6,4645.6,4605.6,4575.6,40.7,1,base+1 no_modifier,2026-05-06 04:23:00+00:00,SL_HIT,4645.6,-120.0,0,0.0,31.0
d96b4ccd,2026-05-07 00:25:53.710225+00:00,LONG,,4672.85,4652.85,4692.85,4722.85,10.85,1,base+1 no_modifier,2026-05-07 01:17:00+00:00,TP1_THEN_TP2,4722.85,210.0,51,52.849999999999454,0.0
a2d2c3b5,2026-05-07 03:13:31.944590+00:00,LONG,,4682.25,4662.25,4702.25,4732.25,35.8,1,base+1 no_modifier,2026-05-07 04:36:00+00:00,TP1_THEN_BE,4703.3,123.15000000000055,82,33.25,0.0
1c67bfee,2026-05-07 06:08:22.819490+00:00,LONG,,4683.0,4663.0,4705.52,4725.22,28.15,1,base+1 no_modifier,2026-05-07 06:29:00+00:00,TP1_THEN_TP2,4725.22,194.22000000000207,20,43.600000000000364,0.0
aa925015,2026-05-07 08:21:43.770494+00:00,LONG,,4716.1,4696.1,4736.1,4766.1,21.25,1,base+1 no_modifier,2026-05-07 09:00:00+00:00,TP1_THEN_BE,4739.0,128.6999999999989,38,36.19999999999982,0.0
f720b3f9,2026-05-07 09:00:04.180876+00:00,LONG,PULLBACK,4711.0,4691.0,4731.0,4761.0,22.1,1,base+1 no_modifier,2026-05-07 09:57:00+00:00,TP1_THEN_BE,4736.5,136.5,56,38.0,0.0
0df69469,2026-05-07 10:08:20.995406+00:00,LONG,,4711.4,4691.4,4731.4,4761.4,16.4,1,base+1 no_modifier,2026-05-07 11:17:00+00:00,TP1_THEN_BE,4737.3,137.70000000000164,68,37.900000000000546,0.0
c87a1b3c,2026-05-07 13:05:23.135827+00:00,LONG,,4717.55,4697.55,4737.55,4767.55,19.65,1,base+1 no_modifier,2026-05-07 13:34:00+00:00,TP1_THEN_TP2,4767.55,210.0,28,50.94999999999982,0.0
c19b3ae1,2026-05-07 13:46:42.024490+00:00,LONG,,4724.65,4704.65,4744.65,4774.65,26.9,1,base+1 no_modifier,2026-05-07 15:00:00+00:00,TP1_THEN_TP2,4774.65,210.0,73,50.350000000000364,0.0
2d8554bd,2026-05-07 17:58:33.191615+00:00,SHORT,,4692.45,4712.45,4672.45,4642.45,18.75,1,base+1 no_modifier,2026-05-07 17:59:00+00:00,SL_HIT,4712.45,-120.0,0,0.0,29.650000000000546
d4126178,2026-05-07 18:31:53.380633+00:00,SHORT,,4693.05,4713.05,4673.05,4643.05,17.3,1,base+1 no_modifier,2026-05-07 18:32:00+00:00,SL_HIT,4713.05,-120.0,0,0.0,30.25
4f48f4d5,2026-05-07 19:02:59.298882+00:00,SHORT,,4691.9,4711.9,4671.9,4641.9,10.35,1,base+1 no_modifier,2026-05-07 19:03:00+00:00,SL_HIT,4711.9,-120.0,0,0.0,23.700000000000728
1915800c,2026-05-07 20:39:52.011659+00:00,LONG,,4678.2,4658.2,4698.2,4728.2,20.2,1,base+1 no_modifier,2026-05-07 20:55:00+00:00,TP1_THEN_BE,4703.8,136.8000000000011,15,38.600000000000364,0.0
01e7d1c5,2026-05-08 01:31:03.649891+00:00,LONG,,4689.25,4669.25,4709.25,4739.25,25.0,1,base+1 no_modifier,2026-05-08 02:04:00+00:00,TP1_THEN_TP2,4739.25,210.0,32,52.149999999999636,0.0
a2faae5b,2026-05-08 03:06:16.401520+00:00,LONG,,4693.8,4673.8,4713.8,4743.8,6.06,1,base+1 no_modifier,2026-05-08 03:50:00+00:00,TP1_THEN_BE,4727.3,160.5,43,45.899999999999636,0.0
b37f5914,2026-05-08 03:51:34.316948+00:00,LONG,,4698.35,4678.35,4718.35,4748.35,25.25,1,base+1 no_modifier,2026-05-08 04:42:00+00:00,TP1_THEN_BE,4719.1,122.25,50,32.94999999999982,0.0
6ec1fd30,2026-05-08 04:50:21.369307+00:00,LONG,,4691.2,4671.2,4711.2,4741.2,23.75,1,base+1 no_modifier,2026-05-08 06:00:00+00:00,TP1_THEN_BE,4727.4,168.59999999999945,69,48.80000000000018,0.0
40c7c629,2026-05-08 06:51:23.305045+00:00,LONG,,4703.8,4683.8,4723.8,4753.8,24.55,1,base+1 no_modifier,2026-05-08 07:15:00+00:00,TP1_THEN_BE,4723.3,118.5,23,31.899999999999636,0.0
b33e3911,2026-05-08 13:07:46.051987+00:00,LONG,,4700.0,4680.0,4720.0,4750.0,29.2,1,base+1 no_modifier,2026-05-08 13:35:00+00:00,TP1_THEN_TP2,4750.0,210.0,27,51.80000000000018,0.0
fe69cf7e,2026-05-08 14:01:33.336287+00:00,LONG,CONTINUATION,4720.75,4700.75,4747.63,4771.15,33.6,2,base+1 IZ_ALIGN+1,2026-05-08 14:08:00+00:00,TP1_THEN_BE,4739.7,137.48999999999978,6,32.850000000000364,0.0
d67ee3d3,2026-05-08 15:13:55.603131+00:00,LONG,,4689.9,4669.9,4709.9,4739.9,22.9,1,base+1 no_modifier,2026-05-08 15:45:00+00:00,TP1_THEN_BE,4712.1,126.60000000000218,31,35.100000000000364,0.0
